,pos,sentence_idx,,word,tag,,,,,,,,,,,,,,
0,NNS,1,,Thousands,O,,,,,,,,,,,,,,
1,IN,1,,of,O,,,,,,,,,,,,,,
2,NNS,1,,demonstrators,O,,,,,,,,,,,,,,
3,VBP,1,,have,O,,,,,,,,,,,,,,
4,VBN,1,,marched,O,,,,,,,,,,,,,,
5,IN,1,,through,O,,,,,,,,,,,,,,
6,NNP,1,,London,B-geo,,,,,,,,,,,,,,
7,TO,1,,to,O,,,,,,,,,,,,,,
8,VB,1,,protest,O,,,,,,,,,,,,,,
9,DT,1,,the,O,,,,,,,,,,,,,,
10,NN,1,,war,O,,,,,,,,,,,,,,
11,IN,1,,in,O,,,,,,,,,,,,,,
12,NNP,1,,Iraq,B-geo,,,,,,,,,,,,,,
13,CC,1,,and,O,,,,,,,,,,,,,,
14,VB,1,,demand,O,,,,,,,,,,,,,,
15,DT,1,,the,O,,,,,,,,,,,,,,
16,NN,1,,withdrawal,O,,,,,,,,,,,,,,
17,IN,1,,of,O,,,,,,,,,,,,,,
18,JJ,1,,British,B-gpe,,,,,,,,,,,,,,
19,NNS,1,,troops,O,,,,,,,,,,,,,,
20,IN,1,,from,O,,,,,,,,,,,,,,
21,DT,1,,that,O,,,,,,,,,,,,,,
22,NN,1,,country,O,,,,,,,,,,,,,,
23,.,1,,.,O,,,,,,,,,,,,,,
24,NNS,2,,Families,O,,,,,,,,,,,,,,
25,IN,2,,of,O,,,,,,,,,,,,,,
26,NNS,2,,soldiers,O,,,,,,,,,,,,,,
27,VBN,2,,killed,O,,,,,,,,,,,,,,
28,IN,2,,in,O,,,,,,,,,,,,,,
29,DT,2,,the,O,,,,,,,,,,,,,,
30,NN,2,,conflict,O,,,,,,,,,,,,,,
31,VBD,2,,joined,O,,,,,,,,,,,,,,
32,DT,2,,the,O,,,,,,,,,,,,,,
33,NNS,2,,protesters,O,,,,,,,,,,,,,,
34,WP,2,,who,O,,,,,,,,,,,,,,
35,VBD,2,,carried,O,,,,,,,,,,,,,,
36,NNS,2,,banners,O,,,,,,,,,,,,,,
37,IN,2,,with,O,,,,,,,,,,,,,,
38,JJ,2,,such,O,,,,,,,,,,,,,,
39,NNS,2,,slogans,O,,,,,,,,,,,,,,
40,IN,2,,as,O,,,,,,,,,,,,,,
41,``,2,,"""",O,,,,,,,,,,,,,,
42,NNP,2,,Bush,B-per,,,,,,,,,,,,,,
43,NN,2,,Number,O,,,,,,,,,,,,,,
